layer,subsegment,company,pbid,hq_country,status,vc_equity_raised_usd_m,debt_or_other_usd_m,total_raised_usd_m,last_round_date,last_round_type,last_round_size_usd_m,last_post_val_usd_m,notes
Application,defense,Anduril Industries,223461-82,United States,Private,11870.1,0,11870.1,2026-05-13,Series H,5000.0,61000.0,"EDGE-OF-UNIVERSE: defense hardware, AI-enabled. Revenue $4,300M TTM 4Q2026."
Application,coding,Anysphere (Cursor),519419-89,United States,"Private (pending acquisition by SpaceX, $60,000M announced 2026-06-16)",3376.0,0,3376.0,2025-11-13,Series D (last completed),2300.0,29300.0,"All equity; no secondaries recorded in PB. $2,000M 7th round (a16z/Thrive, $52,000M post) dated 2026-04-17 still Announced/In Progress, excluded; incl. it cumulative = $5,376M. Revenue $6,000M TTM 4Q2026."
Application,defense,Helsing,481513-60,Germany,Private,3311.4,0,3311.4,2026-07-13,Series E,1800.0,18000.0,EDGE-OF-UNIVERSE.
Application,defense,Shield AI,126184-96,United States,Private,2910.3,250.0,3160.3,2026-03-26,Series G (debt+equity),1500.0,12700.0,EDGE-OF-UNIVERSE. $250M term loan netted (debt figure is a floor).
Application,coding,Cognition (Devin),590473-45,United States,Private,1738.0,0,1738.0,2026-05-27,Series D,1000.0,26000.0,Acquired Windsurf Jul 2025. Revenue $492M TTM 4Q2026.
Application,search-productivity,Perplexity,517947-04,United States,Private,1709.8,3.8,1713.7,2025-09-11,Series E ext (last sized),200.0,20000.0,"Secondaries $15.0M+$0.9M excluded; Jan-2026 7th round undisclosed size. Revenue $1,000M TTM 4Q2026."
Application,enterprise-agents,Sierra,562083-22,United States,Private,1435.0,150.0,1585.0,2026-05-04,Series E (debt+equity),950.0,15800.0,Series E = $800M equity + $150M debt (netted out).
Application,search-productivity,Superhuman (fka Grammarly),92115-91,United States,Private,1414.4,0,1414.4,2026-04-06,Later Stage VC,1022.4,,"Last known val $13,000M (Nov 2021). ~$1B GC non-dilutive facility (2025) not broken out in PB total. Revenue $700M TTM 4Q2025."
Application,legal-finance,Harvey,510703-21,United States,Private,1112.9,75.0,1187.9,2026-03-24,Later Stage VC,200.0,11000.0,Dec-2025 round included $75M loan (netted). Revenue $190M TTM 4Q2025.
Application,coding,Replit,113831-02,United States,Private,878.0,0,878.0,2026-03-24,Series D,400.0,9000.0,Two undisclosed secondaries excluded.
Application,coding,Vercel,167175-28,United States,Private,863.0,0,863.0,2025-09-30,Series F,300.0,9300.0,~$300M est. secondary excluded. Revenue $340M TTM 4Q2026.
Application,healthcare,OpenEvidence,512765-92,United States,Private,795.4,0,795.4,2026-03-05,Series D,250.0,12000.0,Revenue $300M TTM 4Q2026.
Application,healthcare,Abridge,268134-40,United States,Private,779.8,0,779.8,2025-06-27,Series E,315.9,5300.0,Jan-2026 secondary excluded.
Application,search-productivity,Glean,438274-72,United States,Private,765.3,0,765.3,2025-11-25,Series F,150.0,7200.0,
Application,coding,Lovable,600908-32,United States,Private,647.5,0,647.5,2025-12-18,Series B (last completed),425.0,6941.0,"$300M @ ~$13.2B post (2026-07-08) is RUMOR status, excluded. PB HQ Boston; Swedish-founded."
Application,creative,Synthesia,267090-49,United Kingdom,Private,538.9,0,538.9,2026-01-26,Series E,200.8,3943.7,May-2026 secondary excluded.
Application,enterprise-agents,Decagon,539828-92,United States,Private,481.0,0,481.0,2026-01-28,Series D,250.0,4500.0,
Application,healthcare,Hippocratic AI,527653-36,United States,Private,404.0,0,404.0,2025-11-03,Series C/C-1,126.0,3500.0,
Application,legal-finance,EvenUp,439521-94,United States,Private,384.9,0,384.9,2025-07-17,Series E,150.0,2000.0,
Application,search-productivity,Writer,439866-01,United States,Private,326.5,0,326.5,2024-11-06,Series C (last priced),200.0,1900.0,
Application,legal-finance,Rogo,507301-75,United States,Private,313.6,0,313.6,2026-04-29,Series D,160.0,2000.0,
Application,healthcare,Ambience Healthcare,442685-89,United States,Private,311.2,33.0,344.2,2025-07-29,Series C (debt+equity),243.0,1250.0,$33M debt netted out.
